Node	BetweennessCentrality
206	0.0
207	0.0
208	0.00015279752362780632
209	0.00019417498078353447
210	0.0
211	0.0003413164002358229
212	1.0874715471344745e-06
213	2.0375394315210723e-05
214	0.0
215	7.01521916955283e-05
216	0.00012581490882224668
217	8.70626695584523e-05
236	0.00022668379328659625
268	5.2807417160256254e-05
218	0.00010436040496028633
219	8.794072832845863e-06
220	5.431557995695884e-08
221	4.425963678988572e-06
222	0.00045258089514248065
223	5.431557995695884e-08
224	0.0
225	7.11396503258879e-05
226	0.00012374522859349993
227	0.005540046392990393
230	0.019724699544028914
262	0.0008333691094799266
231	0.00038251094422761967
232	0.21711961913819045
233	2.107368081121881e-07
234	0.0001857816745155268
235	4.326595437230335e-05
237	0.0
238	1.3612449318439219e-05
239	0.07701201716804955
240	8.934503747533912e-05
241	1.0362329724874337e-06
264	0.0003511667261635415
242	2.525317625949143e-06
243	0.0
244	1.5405521552700285e-05
245	0.0
246	1.3588353399870605e-05
247	1.4094308084951692e-05
248	7.79381989934392e-05
249	1.2334591975692468e-06
250	0.0001439093286647751
251	0.0
252	0.0004679866655651311
253	4.5321583974831296e-05
254	8.988249595752504e-05
255	0.0
256	0.0
257	0.0
258	0.0
259	0.0
260	4.227554244581977e-07
261	4.2306832233888254e-05
263	2.107368081121881e-07
265	6.687558963369446e-06
266	0.035859708221888144
267	0.0
269	6.056936884321895e-05
270	7.113840193901089e-06
271	1.5207444630380527e-05
272	0.0
273	4.021835836774334e-06
274	1.4843488153267773e-06
275	3.235996528684351e-05
276	6.834300402711629e-06
277	5.301394210135504e-06
279	2.8559494718572015e-05
280	0.002031857072229835
281	1.8826922414708948e-05
282	1.5081419839177777e-05
283	4.082349648850291e-06
284	6.36523554226247e-06
285	0.0
286	0.0
287	0.001388236268470291
288	9.883562749136338e-05
289	0.0003498157872783648
290	1.462676781681872e-05
291	1.0861624268872144e-06
292	0.0015222330111745762
293	0.00021906215982814357
325	0.019881093695455737
294	1.7680367919498822e-05
295	3.78318304962226e-05
296	9.336401094136393e-06
297	1.4437513186863608e-08
298	3.946253604409386e-08
299	0.000265422730810398
300	2.2768315901937587e-05
301	0.003464569743248018
334	0.0007603990639571914
348	0.003526930149892446
302	8.879070609921118e-08
376	1.4106564373009427e-06
303	5.390225467491837e-05
304	0.0004939068692469983
305	1.3243657166257801e-05
306	0.0
307	0.00010393927592499146
308	9.382488412838351e-07
309	0.0035470207762093027
370	0.00011772752552879266
310	1.853746830178004e-05
311	0.00012857203662596225
312	0.00010068735411125507
313	1.2771290121603259e-05
314	0.0008355451496908622
315	0.0008758673024783432
346	0.0003329845495562971
316	5.731361922522017e-05
317	4.672335352346709e-06
318	1.517750459712908e-07
319	5.498782333890635e-05
320	1.1827996225232282e-08
321	4.45800061798848e-05
