Node	BetweennessCentrality
882	0.0003460744648018055
883	0.00017850108831108768
914	1.5557255380071894e-05
918	0.007218177258253117
941	0.00020062720554799962
990	0.00023734191709759518
1018	0.0
1021	2.849557186235281e-05
1096	0.0005717947593897715
1098	0.00044270977044688615
1101	0.0011001662983082445
1103	0.0001700176007795603
1165	8.529478120907455e-05
1166	1.4535237406519996e-05
1167	1.9603067434785432e-05
1191	0.00012595342518438772
1193	0.006072390821649558
1194	1.3445891052448256e-05
1226	0.00420824276853455
1227	0.0028304482219399835
1244	4.057487938945072e-05
1280	2.874638341129608e-05
1298	0.0014720549726223119
1299	6.281065060003226e-06
1364	0.0001578995536199096
1365	0.0
1366	0.0
1367	0.0
1369	0.0
1386	0.0006266500825803801
1644	1.3877820032025282e-06
1645	1.3877820032025282e-06
1646	0.0
1647	5.618550620253154e-09
1648	5.618550620253154e-09
1649	5.618550620253154e-09
1650	5.618550620253154e-09
1651	5.618550620253154e-09
1652	5.618550620253154e-09
1653	5.618550620253154e-09
1654	5.618550620253154e-09
1655	5.618550620253154e-09
1656	5.618550620253154e-09
1657	5.618550620253154e-09
1658	5.618550620253154e-09
1659	5.618550620253154e-09
1660	5.618550620253154e-09
1661	5.618550620253154e-09
1662	5.618550620253154e-09
1663	5.618550620253154e-09
1664	5.618550620253154e-09
1665	5.618550620253154e-09
1666	0.0
1908	4.10409786211578e-05
1909	0.0
1910	0.0
1911	0.0
1912	4.699718124969349e-06
1913	0.0
269	0.00010201821829959541
270	0.03148744836832497
585	2.2303426915375582e-05
595	0.0026219397523885206
271	0.019515545158225615
272	0.0011301721555065877
638	2.7510974593220274e-05
643	6.96854108464259e-07
677	0.0001668067440575524
766	0.0038348381908695772
274	0.0006017958002516553
275	0.0
276	0.0
277	0.0
279	0.0006017958002516553
280	0.0
281	0.0
282	0.0
283	0.00024527973778916304
285	0.0
286	0.0
287	2.240698929705918e-06
288	0.0
289	6.461255799948279e-06
290	0.0
291	1.4972346517259346e-06
292	5.6365665154321054e-05
298	0.0
293	5.6354428053080546e-05
294	5.6354428053080546e-05
295	5.6354428053080546e-05
296	0.0
299	0.0
300	2.0321792132993813e-05
301	3.346459905850252e-05
303	0.0
